,Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K_9,BB_9,K_BB,H_9,HR_9,WHIP,BABIP,LOB_PCT,FIP
69,장원삼,Unicorns,24,9,10,3.628451167,30,30,0,0,0,0,0,168.2,719,152,80,68,16,75,0,3,4,0,132,7.063020214,4.013079667,1.76,8.133174792,0.856123662,1.070154578,0.275862069,0.722543353,4.204756243
70,조용훈,Unicorns,19,4,7,3.209017798,73,0,0,0,9,5,15,81.1,336,65,30,29,5,28,5,6,1,1,52,5.770653514,3.107274969,1.857142857,7.213316893,0.55487053,1.10974106,0.244897959,0.75,3.75487053
71,나승현,Giants,20,1,2,4.071428571,26,0,0,0,0,0,0,42.0,188,37,20,19,3,25,0,7,4,0,31,6.642857143,5.357142857,1.24,7.928571429,0.642857143,1.214285714,0.278688525,0.75617284,4.438095238
72,배장호,Giants,20,4,0,3.42253751,34,0,0,0,0,1,4,47.1,195,41,20,18,4,14,2,4,2,0,33,6.305732484,2.675159236,2.357142857,7.834394904,0.76433121,0.955414013,0.264285714,0.730337079,3.79447983
73,박정규,Tigers,24,1,0,4.764720049,14,0,0,0,0,0,1,11.1,48,11,6,6,1,4,0,0,1,0,10,8.108108108,3.243243243,2.5,8.918918919,0.810810811,3.603603604,0.303030303,0.661764706,3.65045045
74,손영민,Tigers,20,3,1,3.205479452,54,1,0,0,0,1,2,73.0,316,61,29,26,4,29,2,15,3,1,46,5.671232877,3.575342466,1.586206897,7.520547945,0.493150685,1.01369863,0.256756757,0.764587525,3.843835616
75,진해수,Tigers,21,0,2,6.75,14,5,0,0,0,0,0,36.0,166,47,27,27,2,13,1,3,1,0,11,2.75,3.25,0.846153846,11.75,0.5,1.444444444,0.328467153,0.598006645,4.394444444
76,김경선,Eagles,23,0,1,7.615384615,7,1,0,0,0,0,1,13.0,62,19,11,11,2,5,0,1,0,0,6,4.153846154,3.461538462,1.2,13.15384615,1.384615385,2.153846154,0.354166667,0.630630631,5.430769231
77,유원상,Eagles,21,2,1,2.842105263,8,2,0,0,1,0,0,19.0,76,14,6,6,2,9,0,0,4,0,13,6.157894737,4.263157895,1.444444444,6.631578947,0.947368421,1.0,0.230769231,0.841584158,4.621052632
78,이한진,Wyverns,23,1,2,3.496405277,28,2,0,0,0,0,0,46.1,187,41,22,18,1,5,1,5,0,0,18,3.514099783,0.976138829,3.6,8.004338395,0.195227766,1.670281996,0.253164557,0.584677419,3.026464208
79,임태훈,Bears,18,7,3,2.3980342,64,0,0,0,1,4,20,101.1,416,77,28,27,2,36,6,5,2,1,93,8.278931751,3.204747774,2.583333333,6.854599407,0.178041543,1.206726014,0.267857143,0.78125,2.685657765
80,매존,Lions,30,7,11,4.176,24,23,0,0,0,0,0,125.0,544,130,61,58,10,45,0,4,8,1,76,5.472,3.24,1.688888889,9.36,0.72,1.176,0.293398533,0.715151515,4.104
81,오준형,Tigers,22,3,2,5.183996045,18,8,0,0,0,0,0,41.2,201,55,29,24,5,17,0,4,3,1,19,4.150485437,3.713592233,1.117647059,12.01456311,1.09223301,1.529126214,0.320512821,0.68115942,5.093203883
82,정민혁,Eagles,23,1,1,3.857135894,13,0,0,0,0,0,0,18.2,81,16,8,8,1,8,0,4,1,0,15,7.417582418,3.956043956,1.875,7.912087912,0.494505495,1.428571429,0.283018868,0.751879699,3.584615385
83,송진우,Eagles,41,2,2,4.542052027,42,1,0,0,1,2,10,35.2,150,34,19,18,5,10,1,1,2,0,29,7.414772727,2.556818182,2.9,8.693181818,1.278409091,1.193181818,0.276190476,0.684210526,4.251136364
